,Time,Command,Righthip,Lefthip,Pitch
212,3184,1.6942608637096355,170.78571428571428,-181.6931216931217,
213,3197,2.2117606642628664,170.78571428571428,-181.6931216931217,
214,3211,2.767386135273272,171.0,-181.48148148148147,-2.1875
215,3227,3.3997048333292073,171.0,-181.6931216931217,-2.1875
216,3246,4.14600973228594,170.78571428571428,-181.6931216931217,
217,3259,4.653255352519592,170.78571428571428,-181.6931216931217,-2.1875
218,3276,5.311777700416554,171.0,-181.6931216931217,
219,3289,5.811250856528407,171.0,-181.6931216931217,-2.1875
220,3306,6.458429004857241,170.78571428571428,-181.6931216931217,
221,3319,6.948332132851538,170.78571428571428,-181.6931216931217,-2.1875
222,3336,7.58183693914679,171.0,-181.6931216931217,
223,3349,8.060406916794676,170.78571428571428,-181.9047619047619,-2.1875
224,3366,8.67795844785678,170.78571428571428,-181.6931216931217,
225,3379,9.143472940032249,171.0,-181.6931216931217,-2.1875
226,3397,9.77776206962248,170.78571428571428,-181.6931216931217,
227,3411,10.262379649294363,171.0,-181.9047619047619,-2.1875
228,3427,10.806355205091853,170.78571428571428,-181.9047619047619,
229,3441,11.273276014922665,170.57142857142858,-181.9047619047619,-2.1875
230,3458,11.828335408373396,170.78571428571428,-181.9047619047619,
231,3471,12.243600760574429,170.78571428571428,-181.9047619047619,-2.1875
232,3488,12.77410956993793,170.57142857142858,-181.9047619047619,
233,3501,13.169861764990266,170.78571428571428,-181.9047619047619,-2.1875
234,3518,13.673910731433605,170.57142857142858,-182.11640211640213,
235,3531,14.048725488796151,170.57142857142858,-182.11640211640213,
236,3544,14.414043842710402,170.57142857142858,-181.9047619047619,
237,3558,14.796560268623399,170.78571428571428,-181.9047619047619,
238,3571,15.141373837890894,170.57142857142858,-182.11640211640213,-2.1875
239,3588,15.576805370562127,170.57142857142858,-181.9047619047619,
240,3601,15.897659566637682,170.78571428571428,-182.11640211640213,-2.1875
241,3618,16.300990794098,170.57142857142858,-182.11640211640213,
242,3632,16.619017942015276,170.57142857142858,-181.9047619047619,
243,3645,16.902668233144347,170.78571428571428,-181.9047619047619,-2.1875
244,3660,17.215747757978033,170.57142857142858,-181.9047619047619,-2.1875
245,3677,17.551827337680773,170.57142857142858,-182.11640211640213,
246,3690,17.795159967007194,170.57142857142858,-182.11640211640213,-2.1875
247,3708,18.112190429855886,170.57142857142858,-182.11640211640213,
248,3721,18.326582496773835,170.57142857142858,-182.11640211640213,-2.1875
249,3740,18.617602776942274,170.57142857142858,-182.11640211640213,-2.1875
250,3757,18.85521580403578,170.57142857142858,-182.11640211640213,
251,3770,19.02222784814218,170.57142857142858,-182.11640211640213,-2.1875
252,3786,19.21011831912286,170.57142857142858,-182.11640211640213,
253,3799,19.348304336852724,170.57142857142858,-182.11640211640213,
254,3812,19.473411637643498,170.35714285714286,-182.11640211640213,-2.1875
255,3829,19.61713978189957,170.57142857142858,-182.11640211640213,
256,3842,19.711757479013524,170.57142857142858,-182.11640211640213,-2.1875
257,3859,19.815374707700325,170.35714285714286,-182.11640211640213,
258,3872,19.8791622796027,170.57142857142858,-181.9047619047619,-2.1875
