,Time,Command,Righthip,Lefthip,Pitch,Pitchdot
98,3295,6.040472380534647,2.357142857142854,-0.10582010582010781,-7.5625,-0.17671458676442586
99,3328,7.284764222769166,3.0,2.857142857142854,-7.25,-0.20507618710933373
100,3364,8.605812253490074,4.071428571428569,2.2222222222222214,-6.8125,-0.21925698728178766
101,3398,9.81263635098473,5.357142857142861,4.338624338624342,-6.4375,-0.2628902185816459
102,3430,10.907135412806038,4.714285714285708,4.338624338624342,-6.0625,-0.2617993877991494
103,3464,12.021006985373328,5.357142857142861,6.455026455026456,-5.5,-0.2399827721492203
104,3498,13.079314837145038,7.071428571428569,8.994708994709,-5.125,-0.21489366415180183
105,3530,14.020227544711963,7.928571428571431,8.148148148148152,-4.75,-0.18871372537188688
106,3563,14.930377411999585,7.928571428571431,9.417989417989418,-4.375,-0.12544553998709243
107,3597,15.800069837677523,9.857142857142861,10.687830687830683,-4.25,-0.055632369907319255
108,3630,16.574377447796707,9.214285714285708,11.322751322751316,-4.1875,-0.014180800172453928
109,3663,17.276513273817905,10.714285714285708,12.169312169312164,-4.1875,0.001090830782496456
110,3697,17.92121301873323,10.285714285714292,12.169312169312164,-4.25,0.05999569303730508
111,3729,18.45236757859706,11.142857142857139,14.708994708994709,-4.375,0.18980455615438332
112,3763,18.933889070599427,11.142857142857139,14.285714285714292,-4.6875,0.2694352032766246
113,3798,19.33813783988417,11.57142857142857,14.920634920634924,-5.3125,0.33815754257390135
114,3830,19.624889721287243,13.285714285714292,14.285714285714292,-5.9375,0.37960911230876665
115,3863,19.836430459478226,13.92857142857143,15.767195767195773,-6.5625,0.3861540970037454
116,3898,19.96639071863533,14.142857142857139,17.883597883597886,-7.375,0.35561083509384467
117,3930,19.999637793797113,13.07142857142857,18.730158730158735,-7.9375,0.3043417883165112
118,3964,19.945237823971905,14.357142857142861,17.883597883597886,-8.5625,0.2596177262341565
119,3999,19.792945355623306,14.357142857142861,18.306878306878303,-9.0,0.21707532571679475
120,4031,19.56884170745143,13.714285714285708,18.51851851851852,-9.3125,0.20507618710933373
121,4065,19.242963289006127,13.92857142857143,18.941798941798936,-9.8125,0.1930770485018727
122,4102,18.787328300381347,14.357142857142861,18.941798941798936,-10.125,0.21707532571679475
123,4134,18.310233289189792,13.5,18.941798941798936,-10.5,0.2476185876266955
124,4168,17.721221545858644,14.785714285714292,18.51851851851852,-11.0625,0.27707101875409984
125,4202,17.05029844457479,13.714285714285708,18.51851851851852,-11.5625,0.2999784651865254
126,4234,16.346788307472888,15.0,18.306878306878303,-12.0625,0.32288591161895097
127,4268,15.5260400259597,14.57142857142857,18.941798941798936,-12.8125,0.3425208657038872
128,4302,14.633526995111179,14.785714285714292,18.306878306878303,-13.375,0.35779249665883756
129,4335,13.702538938256012,14.785714285714292,15.767195767195773,-14.0,0.3741549583962844
130,4369,12.680977949812252,14.57142857142857,14.920634920634924,-14.8125,0.3741549583962844
131,4403,11.600802710576048,14.357142857142861,15.978835978835974,-15.4375,0.30870511144649704
132,4435,10.5350915195093,13.92857142857143,14.708994708994709,-15.875,0.19416787928436915
133,4469,9.355610781946723,13.5,14.497354497354493,-16.1875,0.06763150851478027
134,4503,8.132886367211974,14.142857142857139,13.015873015873012,-16.1875,-0.09599310885968812
135,4534,6.985138272771768,14.357142857142861,12.80423280423281,-16.0625,-0.20943951023931956
136,4568,5.695620005405911,13.5,12.80423280423281,-15.5625,-0.28688849579656794
137,4603,4.340737509194238,12.0,10.687830687830683,-15.0,-0.35124751196385884
138,4635,3.0832143633446063,10.714285714285708,7.724867724867721,-14.4375,-0.37960911230876665
139,4668,1.7732277815591364,9.214285714285708,6.031746031746039,-13.5625,-0.3817907738737596
140,4702,0.41552931490923883,7.071428571428569,6.24338624338624,-12.875,-0.40578905108868163
141,4734,-0.8641716596770432,5.571428571428569,3.915343915343918,-12.1875,-0.4385139745635753
142,4768,-2.2198574381945178,4.285714285714292,2.857142857142854,-11.5,-0.48978302134090873
143,4802,-3.5652825506087336,3.4285714285714306,2.2222222222222214,-10.375,-0.5465062220307244
144,4837,-4.933002172204525,0.8571428571428541,0.7407407407407405,-9.4375,-0.5726861608106394
145,4871,-6.238568229813406,-1.2857142857142847,-0.31746031746031633,-8.1875,-0.5606870222031783
146,4904,-7.47821465526108,-3.642857142857146,-2.2222222222222214,-7.25,-0.5279620987282847
147,4937,-8.685297800716052,-3.642857142857146,-4.338624338624342,-6.4375,-0.459239759431008
148,4971,-9.88934912162333,-5.142857142857146,-5.396825396825399,-5.4375,-0.38288160465625604
149,5004,-11.014324058774738,-7.071428571428569,-7.301587301587304,-4.9375,-0.2279836335417593
150,5037,-12.09133801395513,-7.071428571428569,-6.87830687830688,-4.5625,-0.16144295580947549
151,5070,-13.115701217133072,-7.928571428571431,-5.185185185185183,-4.25,-0.11235557059713497
152,5104,-14.111327119774575,-9.642857142857146,-6.24338624338624,-4.0625,-0.07308566242726255
153,5137,-15.01533473700139,-10.92857142857143,-6.455026455026456,-3.9375,-0.06326818538479445
154,5171,-15.878312154386606,-11.57142857142857,-6.031746031746032,-3.875,0.015271630954950384
155,5206,-16.689970316438846,-11.142857142857146,-7.301587301587304,-4.0,0.14726215563702155
156,5238,-17.360612581742075,-13.07142857142857,-7.301587301587304,-4.25,0.24107360293171676
157,5271,-17.977733238489403,-13.92857142857143,-8.783068783068785,-4.8125,0.3370667117914049
158,5306,-18.546658597847735,-13.92857142857143,-8.148148148148145,-5.4375,0.41996985126113556
159,5340,-19.0123659677586,-14.142857142857146,-9.841269841269842,-6.125,0.4177881896961426
160,5373,-19.38035313702091,-14.785714285714285,-12.804232804232804,-7.0625,0.4145156973486533
161,5407,-19.671212594075765,-15.214285714285715,-12.804232804232804,-7.75,0.39051742013373125
162,5440,-19.866574458155473,-16.285714285714285,-14.285714285714285,-8.4375,0.4188790204786391
163,5473,-19.975428932918348,-16.5,-15.767195767195766,-9.375,0.46796640569097964
164,5507,-19.996605027265375,-15.857142857142854,-16.19047619047619,-10.125,0.3861540970037454
165,5539,-19.93209847592606,-17.57142857142857,-15.767195767195766,-10.875,0.24107360293171676
166,5575,-19.762000528287963,-17.357142857142854,-17.037037037037038,-11.0625,-0.03490658503988659
167,5609,-19.50730432821731,-17.142857142857146,-17.248677248677247,-10.9375,-0.23452861823673804
168,5641,-19.185196555753453,-16.92857142857143,-17.67195767195767,-10.6875,-0.40578905108868163
169,5674,-18.770763570324533,-16.92857142857143,-17.67195767195767,-9.625,-0.5083271446433485
170,5708,-18.258305377636848,-18.214285714285715,-15.767195767195766,-8.75,-0.5268712679457882
171,5740,-17.698850817427278,-16.92857142857143,-17.67195767195767,-7.875,-0.49960049838337683
172,5774,-17.02508252462646,-16.92857142857143,-16.402116402116405,-6.8125,-0.459239759431008
173,5808,-16.272620580530763,-16.5,-17.037037037037038,-6.125,-0.40033489717619936
174,5840,-15.495645112212674,-17.142857142857146,-17.883597883597886,-5.4375,-0.35779249665883756
175,5873,-14.627972409667844,-17.142857142857146,-17.248677248677247,-4.6875,-0.3076142806640006
176,5907,-13.667427903951928,-16.5,-18.306878306878303,-4.25,-0.2879793265790644
177,5939,-12.705593612506295,-16.5,-15.978835978835981,-3.8125,-0.2628902185816459
178,5973,-11.626735113380363,-15.642857142857146,-15.767195767195766,-3.375,-0.26725354171163174
179,6007,-10.494135304196943,-15.0,-15.767195767195766,-2.8125,-0.2683443724941282
180,6040,-9.34840938703654,-12.642857142857146,-15.132275132275133,-2.375,-0.2596177262341565
181,6073,-8.161976578406708,-11.57142857142857,-13.01587301587302,-1.9375,-0.22689280275926285
182,6108,-6.864918578282283,-10.714285714285715,-12.592592592592595,-1.4375,-0.19962203319685143
183,6140,-5.649450256713706,-9.214285714285715,-9.629629629629626,-1.25,-0.028361600344907856
184,6173,-4.37182579385853,-8.785714285714285,-10.05291005291005,-1.25,0.1505346479845109
185,6208,-2.9960914992318077,-7.714285714285715,-9.417989417989418,-1.6875,0.3534291735288517
186,6240,-1.7252653725268772,-6.0,-7.513227513227513,-2.25,0.6043202535030366
187,6274,-0.3673916218480575,-4.5,-7.513227513227513,-3.6875,0.6643159465403417
188,6316,1.3116456491998785,-3.2142857142857153,-2.433862433862437,-5.0625,0.5835944686356039
189,6350,2.664640828398844,-1.0714285714285694,-3.2804232804232782,-5.9375,0.40033489717619936
190,6382,3.926908296537966,0.6428571428571459,-1.3756613756613731,-6.5,0.24652775684419906
191,6416,5.25033263193953,1.9285714285714306,0.31746031746031633,-6.875,0.04581489286485115
192,6450,6.54948878275386,2.142857142857146,0.529100529100532,-6.625,-0.20507618710933373
193,6482,7.744675394144165,3.2142857142857153,2.010582010582013,-6.0625,-0.4756022211684548
194,6516,8.979705421026438,4.285714285714292,3.7037037037037024,-5.1875,-0.5563236990731926
195,6549,10.138770299296313,4.5,3.492063492063494,-3.875,-0.5737769915931359
196,6581,11.220597364437072,5.142857142857139,5.396825396825392,-3.125,-0.3141592653589793
197,6615,12.31959988044159,5.142857142857139,6.666666666666671,-2.75,-0.11671889372712078
198,6648,13.331868337549652,4.928571428571431,8.148148148148152,-2.75,0.14944381720201447
199,6681,14.286084253842201,6.0,8.57142857142857,-3.25,0.3174317577064687
200,6715,15.20411027125501,5.142857142857139,10.687830687830683,-3.6875,0.1712604328519436
201,6747,16.00400911825186,7.928571428571431,12.169312169312164,-3.625,-0.2617993877991494
202,6780,16.760237501696132,9.214285714285708,11.322751322751316,-2.875,-0.5617778529856748
203,6813,17.44348478849206,10.285714285714292,12.80423280423281,-1.8125,-0.6065019150680295
204,6846,18.05077583367129,10.07142857142857,12.38095238095238,-0.9375,-0.35015668118136234
205,6879,18.579466237567168,10.285714285714292,13.015873015873012,-0.5625,0.030543261909900768
206,6913,19.03953872136805,11.142857142857139,14.920634920634924,-1.0,0.49414634447089456
207,6945,19.392188847952344,11.785714285714292,14.285714285714292,-1.9375,0.6730425928003133
208,6979,19.679849871066594,13.07142857142857,15.767195767195773,-3.375,0.6141377305455047
209,7013,19.87654632816191,12.857142857142861,16.19047619047619,-4.125,0.22471114119426994
210,7049,19.984661468195387,13.5,17.67195767195767,-4.25,-0.09272061651219876
211,7082,19.992800301534995,13.07142857142857,19.15343915343915,-3.75,-0.5203262832508095
212,7115,19.91388210534688,13.285714285714292,18.51851851851852,-2.75,-0.6719517620178169
213,7148,19.748250522524092,13.07142857142857,18.306878306878303,-1.625,-0.6163193921104976
214,7181,19.496626782378126,13.92857142857143,18.941798941798936,-0.5,-0.4276056667386107
215,7215,19.148598231577623,13.5,18.941798941798936,-0.125,0.02181661564992912
216,7247,18.74015520575299,13.714285714285708,18.941798941798936,-0.375,0.4112432050011639
217,7281,18.222151071316745,13.285714285714292,18.51851851851852,-1.625,0.6959500392327389
218,7315,17.619920173211373,13.714285714285708,17.67195767195767,-2.9375,0.8028514559173916
219,7347,16.97866189712349,13.5,17.67195767195767,-4.1875,0.657770961845363
220,7381,16.22121570036489,13.92857142857143,16.402116402116405,-5.4375,0.42978732830360367
221,7415,15.388791500412648,14.142857142857139,16.613756613756607,-5.75,-0.06763150851478027
222,7447,14.540282917921632,13.92857142857143,18.306878306878303,-5.4375,-0.4756022211684548
223,7481,13.57359164844575,14.142857142857139,15.767195767195773,-4.0,-0.779944009484966
224,7516,12.512981133570323,14.142857142857139,14.074074074074076,-2.625,-0.7733990247899872
225,7548,11.489510874275235,14.142857142857139,13.86243386243386,-1.4375,-0.47669305195095124
226,7582,10.350625483838911,12.642857142857139,14.920634920634924,-0.9375,0.015271630954950384
227,7616,9.163897240874217,13.92857142857143,14.708994708994709,-1.25,0.5541420375081997
228,7648,8.00818225081327,12.857142857142861,13.227513227513228,-2.1875,0.8213955792198313
229,7682,6.744417051785396,13.07142857142857,10.899470899470899,-4.0625,0.8170322560898455
230,7716,5.449477683534427,11.357142857142861,10.899470899470899,-5.1875,0.44833145160604343
231,7748,4.207592672291798,10.5,8.783068783068785,-5.625,-0.0545415391248228
232,7784,2.790134837711977,9.42857142857143,6.031746031746039,-5.0,-0.6697701004528239
233,7818,1.4380234238224163,8.142857142857139,4.338624338624342,-3.6875,-0.9828385350293068
234,7850,0.15926367571874686,7.071428571428569,3.7037037037037024,-2.0,-0.9752027195518317
235,7884,-1.2000134478431776,5.571428571428569,2.6455026455026456,-0.0625,-0.7603090554000298
236,7917,-2.514066186450215,3.2142857142857153,4.1269841269841265,0.75,-0.22689280275926285
237,7949,-3.7778993175752715,2.5714285714285694,3.7037037037037024,0.875,0.22580197197676638
238,7983,-5.103655503850332,0.4285714285714306,1.1640211640211646,0.125,0.5901394533305827
239,8017,-6.405821479272186,-2.357142857142854,-0.529100529100532,-1.1875,0.8912087492996045
240,8049,-7.604447773469155,-3.0,-3.0687830687830697,-2.625,0.8017606251348951
241,8083,-8.843761227309207,-3.857142857142854,-5.185185185185183,-4.0625,0.47451139038595835
242,8118,-10.0767689311297,-6.642857142857146,-5.820105820105823,-4.3125,-0.17780541754692233
243,8150,-11.161045425735587,-6.857142857142854,-6.666666666666664,-3.75,-0.6424993308904126
244,8184,-12.262917391895357,-7.5,-7.724867724867728,-2.0625,-0.8443030256522569
245,8218,-13.30810747450485,-9.0,-8.148148148148145,-0.6875,-0.6686792696703275
246,8250,-14.235706847382462,-9.857142857142854,-6.031746031746032,0.1875,-0.25743606466916363
247,8284,-15.157330555007846,-10.714285714285715,-7.936507936507937,0.1875,0.2530727415391778
248,8319,-16.0328380002266,-10.92857142857143,-8.148148148148145,-0.625,0.7384924397501007
249,8351,-16.764681498660483,-12.42857142857143,-5.6084656084656075,-2.0,0.8312130562622995
250,8385,-17.466987474177962,-13.92857142857143,-6.87830687830688,-3.6875,0.6730425928003133
251,8420,-18.105586092160525,-14.142857142857146,-8.35978835978836,-4.4375,0.16144295580947549
252,8452,-18.611912977268773,-15.214285714285715,-6.455026455026456,-4.4375,-0.29670597283903605
253,8485,-19.05422466984313,-15.857142857142854,-8.35978835978836,-3.375,-0.6992225315802283
254,8522,-19.451405798131898,-15.42857142857143,-11.957671957671955,-2.125,-0.7668540400950086
255,8556,-19.722556217926773,-15.642857142857146,-13.86243386243386,-0.5625,-0.619591884457987
256,8588,-19.894497543984674,-16.285714285714285,-14.285714285714285,0.125,-0.21271200258680892
257,8621,-19.98648884347804,-17.57142857142857,-14.074074074074076,0.25,0.20507618710933373
258,8654,-19.99145059617656,-16.92857142857143,-16.825396825396822,-0.25,0.5945027764605685
259,8687,-19.909361196530014,-17.357142857142854,-16.19047619047619,-1.9375,0.8650288105196896
260,8721,-19.734116913492244,-17.357142857142854,-16.613756613756614,-3.3125,0.6741334235828098
261,8753,-19.485836247465972,-16.714285714285715,-17.460317460317462,-4.1875,0.19634954084936207
262,8787,-19.134644385690166,-17.357142857142854,-17.248677248677247,-4.0,-0.35561083509384467
263,8821,-18.69500801677259,-17.785714285714285,-16.402116402116405,-2.9375,-0.8486663487822428
264,8853,-18.202253632801728,-17.785714285714285,-17.460317460317462,-1.4375,-0.8519388411297321
265,8887,-17.597089686054975,-16.5,-17.883597883597886,0.0625,-0.5530512067257032
266,8921,-16.910588145933538,-16.714285714285715,-17.248677248677247,0.4375,0.13853550937704992
267,8953,-16.19300460633063,-16.714285714285715,-17.460317460317462,0.0,0.6283185307179586
268,8988,-15.332341049960636,-16.5,-17.460317460317462,-1.625,0.8246680715673207
269,9022,-14.424316941153034,-16.92857142857143,-17.67195767195767,-2.875,0.5268712679457882
270,9054,-13.508721882237664,-17.785714285714285,-17.037037037037038,-3.5,0.028361600344907856
271,9088,-12.475385269164725,-16.07142857142857,-15.978835978835981,-3.0,-0.4559672670835186
272,9123,-11.351474521414477,-16.07142857142857,-16.402116402116405,-1.9375,-0.6959500392327389
273,9155,-10.275101020379047,-14.142857142857146,-15.132275132275133,-0.875,-0.4559672670835186
274,9189,-9.085458938559746,-13.07142857142857,-14.4973544973545,-0.3125,-0.025089107997418487
275,9223,-7.853821880414733,-11.57142857142857,-13.227513227513228,-0.8125,0.5301437602932776
276,9258,-6.548100499195765,-11.57142857142857,-11.746031746031747,-2.1875,0.729765793490129
277,9291,-5.287502213645224,-9.42857142857143,-11.322751322751323,-3.4375,0.6446809924554054
278,9324,-4.0038799279847765,-7.928571428571431,-8.783068783068785,-4.375,0.3785182815262702
279,9358,-2.6631846380060353,-6.428571428571431,-7.089947089947088,-4.75,-0.07308566242726255
280,9391,-1.3500909589755696,-4.5,-8.994708994708994,-4.0625,-0.5541420375081997
281,9425,0.008881568932923826,-4.285714285714285,-7.724867724867728,-2.75,-0.940296134511945
282,9457,1.2879896251682652,-2.142857142857146,-4.761904761904759,-1.125,-0.9162978572970231
283,9490,2.601489222058278,-1.0714285714285694,-3.915343915343918,0.5,-0.581412807070611
284,9524,3.9428836846803703,0.0,-0.529100529100532,0.9375,0.07744898555724837
285,9557,5.2274542399531825,2.142857142857146,-0.31746031746031633,0.5625,0.5137812985558308
286,9590,6.489262269153601,2.5714285714285694,2.433862433862437,-0.875,0.806123948264881
287,9624,7.7596954575610635,4.071428571428569,1.5873015873015888,-2.375,0.9162978572970231
288,9656,8.922736028576498,4.285714285714292,1.7989417989417973,-3.8125,0.7155849933176751
289,9690,10.118328907629044,3.857142857142854,3.2804232804232782,-5.0,0.31852258848896514
290,9724,11.26715265968376,3.857142857142854,4.550264550264544,-5.0,-0.34143003492139073
291,9756,12.300916436337435,6.0,5.6084656084656075,-4.125,-0.7613998861825263
292,9791,13.373778122374203,7.285714285714292,6.666666666666671,-2.1875,-0.9359328113819593
293,9825,14.353308251988581,7.928571428571431,8.359788359788354,-0.625,-0.8115781021773633
294,9857,15.214691060619112,8.785714285714292,10.264550264550266,0.5,-0.45487643630102215
295,9891,16.061573966871737,10.07142857142857,10.899470899470899,1.0,-0.031634092692397225
296,9925,16.834216768903566,9.642857142857139,11.111111111111114,0.4375,0.5094179754258449
297,9957,17.49038893318788,10.07142857142857,11.534391534391531,-0.625,0.8944812416470939
298,9993,18.142856426333623,11.142857142857139,12.80423280423281,-2.6875,0.8999353955595761
299,10027,18.672804463306253,11.142857142857139,12.80423280423281,-4.0625,0.6566801310628665
