,Time,Command,Righthip,Pitch,Pitchdot
59,1601,-10.371428571428574,171.21428571428572,-4.5,-0.18750000000000003
60,1628,-10.371428571428574,171.21428571428572,-4.5,0.0625
61,1655,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
62,1682,-10.371428571428574,171.21428571428572,-4.5,-0.0625
63,1709,-10.371428571428574,171.21428571428572,-4.5,-0.125
64,1735,-10.371428571428574,171.21428571428572,-4.5,-0.0
65,1762,-10.392857142857142,171.42857142857142,-4.5,-0.25
66,1762,0.0,171.21428571428572,-4.5,-0.25
67,1799,-10.392857142857142,171.42857142857142,-4.5,0.0625
68,1826,-10.371428571428574,171.21428571428572,-4.5,-0.0
69,1853,-10.350000000000001,171.0,-4.5,-0.0625
70,1880,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
71,1907,-10.350000000000001,171.0,-4.5,-0.125
72,1934,-10.371428571428574,171.21428571428572,-4.5,-0.0
73,1963,-10.350000000000001,171.0,-4.5,-0.18750000000000003
74,1963,0.0,171.21428571428572,-4.5,-0.18750000000000003
75,1999,-10.371428571428574,171.21428571428572,-4.5,-0.18750000000000003
76,2026,-10.371428571428574,171.21428571428572,-4.5,-0.125
77,2053,-10.371428571428574,171.21428571428572,-4.5,-0.125
78,2079,-10.371428571428574,171.21428571428572,-4.5,0.0625
79,2106,-10.350000000000001,171.0,-4.5,-0.0
80,2134,-10.371428571428574,171.21428571428572,-4.5,-0.0625
81,2160,-10.371428571428574,171.21428571428572,-4.5,-0.0
82,2187,-10.392857142857142,171.42857142857142,-4.5,0.0625
83,2213,-10.350000000000001,171.0,-4.5,0.18750000000000003
84,2240,-10.392857142857142,171.42857142857142,-4.5,-0.0
85,2267,-10.371428571428574,171.21428571428572,-4.5,-0.125
86,2295,-10.371428571428574,171.21428571428572,-4.5,0.125
87,2322,-10.465178571428574,171.21428571428572,-4.4375,4.375
88,2349,-10.558928571428574,171.21428571428572,-4.375,2.5625
89,2374,-10.674107142857142,171.42857142857142,-4.3125,-3.125
90,2401,-10.443750000000001,171.0,-4.4375,-4.0625
91,2426,-10.371428571428574,171.21428571428572,-4.5,0.5
92,2453,-10.443750000000001,171.0,-4.4375,1.0625
93,2479,-10.443750000000001,171.0,-4.4375,1.0625
94,2506,-10.558928571428574,171.21428571428572,-4.375,2.0625
95,2533,-10.558928571428574,171.21428571428572,-4.375,0.25
96,2560,-10.558928571428574,171.21428571428572,-4.375,0.5
97,2588,-10.631250000000001,171.0,-4.3125,-0.0625
98,2614,-10.674107142857142,171.42857142857142,-4.3125,1.4375
99,2641,-10.746428571428574,171.21428571428572,-4.25,1.4375
100,2667,-10.746428571428574,171.21428571428572,-4.25,1.8125000000000002
101,2695,-10.933928571428574,171.21428571428572,-4.125,5.0
102,2723,-11.121428571428574,171.21428571428572,-4.0,7.250000000000001
103,2749,-11.402678571428574,171.21428571428572,-3.8125,9.5625
104,2775,-11.871428571428574,171.21428571428572,-3.5,10.4375
105,2801,-12.131250000000001,171.0,-3.3125,10.875
106,2825,-12.600000000000001,171.0,-3.0,11.0
107,2852,-13.111607142857142,171.42857142857142,-2.6875,10.875
108,2877,-13.486607142857142,171.42857142857142,-2.4375,11.5
109,2903,-13.933928571428574,171.21428571428572,-2.125,12.000000000000002
110,2928,-14.308928571428574,171.21428571428572,-1.875,13.1875
