,Time,Command,Righthip,Pitch,Pitchdot
87,2122,29.3125,19.07142857142857,-29.3125,0.10581058590215622
88,2149,29.1875,21.64285714285714,-29.1875,-0.47778388273344774
89,2174,28.3125,21.85714285714286,-28.3125,-0.5530512067257032
90,2201,27.4375,21.214285714285708,-27.4375,-0.9053895494720584
91,2226,25.9375,21.64285714285714,-25.9375,-0.9304786574694769
92,2253,24.6875,22.285714285714292,-24.6875,-1.1802789066611654
93,2279,22.6875,23.14285714285714,-22.6875,-1.2762720155208536
94,2305,21.25,24.214285714285708,-21.25,-1.1977321991811087
95,2329,19.25,23.57142857142857,-19.25,-1.0515608743265836
96,2355,17.9375,24.214285714285708,-17.9375,-1.385355093770499
97,2380,15.75,22.92857142857143,-15.75,-1.2937253080407969
98,2407,13.375,22.285714285714292,-13.375,-1.5707963267948966
99,2432,11.5625,21.0,-11.5625,-1.5500705419274639
100,2459,9.0,19.285714285714292,-9.0,-1.401717555507946
101,2487,7.0,17.35714285714286,-7.0,-0.9610219193793778
102,2514,5.875,15.0,-5.875,-0.9773843811168246
103,2539,4.0625,13.92857142857143,-4.0625,-1.0897399517139594
104,2565,3.125,12.0,-3.125,-0.6414085001079161
105,2592,1.875,10.285714285714292,-1.875,-0.7199483164476609
106,2619,0.6875,8.357142857142861,-0.6875,-0.7254024703601433
107,2645,0.0,7.5,0.0,-0.32615840396644036
108,2672,-0.375,6.857142857142861,0.375,-0.4919646829059016
109,2699,-1.25,6.428571428571431,1.25,-0.5759586531581288
110,2724,-2.0,6.214285714285708,2.0,-0.8213955792198313
111,2752,-3.3125,5.357142857142861,3.3125,-0.6599526234103559
112,2777,-4.0,4.285714285714292,4.0,-0.6784967467127956
113,2803,-5.0,4.928571428571431,5.0,-0.5672320068981571
114,2829,-6.375,2.5714285714285694,6.375,-0.9435686268594344
115,2856,-7.0,3.4285714285714306,7.0,-0.4134248665661568
116,2881,-7.625,0.2142857142857153,7.625,-0.3108867730114899
117,2907,-8.125,-0.2142857142857153,8.125,-0.3337942194439155
118,2932,-8.4375,-1.5,8.4375,-0.061086523819801536
